ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
364,5990-0000-0024,[5990-0000-0024]  Customer supplied material - EXE WS MP XZ LOCK WEDGE,Pcs,1,0.0,,
365,4022-669-93452,[4022-669-93452]  SERV FLR MKII BM IF HOOK,Pcs,1,0.0,,
366,5990-0000-0025,[5990-0000-0025]  Customer supplied material - SERV FLR MKII BM IF HOOK,Pcs,1,0.0,,
367,7005-2480-0090,[7005-2480-0090]  METROFRAME BODY V02-00-B / 0119073001 ,Pcs,1,0.0,,4
368,5601-0000-0155,[5601-0000-0155]  ALU 5083 gegoten gzgd plaat 590x460x150,Pcs,1,0.0,,
369,7005-2480-0170,[7005-2480-0170]  CABLE GUIDE / 0119073006,Pcs,1,0.0,,
370,7201703,[7201703]  MOTOR MOUNT / PROTO,mm,3000,0.0,,
371,5601-0000-0040,[5601-0000-0040]  ALU 5083 H111 (wgw) gzgd plaat 125x30,Pcs,1,0.0,,
372,7202812,[7202812]  PRINTBED / PROTO,mm,3000,0.0,,
373,7199932,[7199932]   BASE SHUTTLE / PROTO,mm,3000,0.0,,
374,5601-0000-0159,[5601-0000-0159]  ALU 5083 6z gzgd 125x60,Pcs,1,0.0,,
375,4022.684.31572,[4022.684.31572]  RH RED TURRET ELEC COVER C,Pcs,1,0.0,,1
376,5601-0000-0160,[5601-0000-0160]  ALU 5083 gegoten gefreesd gzgd plaat 500x350x12mm ,Pcs,1,0.0,,
377,7200759,[7200759]  MAGNET HOLDER / PROTO,mm,3000,0.0,,
378,5601-0000-0051,[5601-0000-0051]  ALU 5083 H111 (wgw) gzgd plaat 200x15,Pcs,1,0.0,,
379,7204469,[7204469]  ENCODERPLATE / PROTO,mm,3000,0.0,,
380,7206913,[7206913]  BOTTOM PLATE / PROTO,mm,3000,0.0,,
381,4022.622.61941,[4022.622.61941]  RH RED FRAME -X COVER,Pcs,1,0.0,,1
382,5601-0000-0161,[5601-0000-0161]  ALU 6082 T651 (wgw) gzgd plaat 500x365x100 ,Pcs,1,0.0,,
383,4022.622.61761,[4022.622.61761]  RH RED EBOX MONO,Pcs,1,0.0,,1
384,5601-0000-0162,[5601-0000-0162]  ALU 6082 T651 (wgw) gzgd plaat 240x180x150,Pcs,1,0.0,,
